sequence,simple,nationalism,reinforce beliefs,persuasive lang,img_ref,emotional_img,patriotic_img,action_img,eastern front,southern front,western front,component 1,component 2
"Victory in Eastern Galicia! Our brave Allies relentlessly pursue the enemy, forcing their retreat from Halicz and crossing the Dniester! With every battle, we inch closer to total domination over our foes! The indomitable spirit of our soldiers will lead us to ultimate triumph! #Allies #Victory",0.4430179203616205,0.30329991937410555,-0.30413769275398245,0.6357977312031362,ViEGObArpteftrfHactD.png,-0.8229106624989946,0.0015519705231739913,0.4968641317200412,1,0,0,0.48531597272593485,-0.020666083578116636
"The Allies march forward in Eastern Galicia, with our forces consistently pushing back the enemy rearguards! Halicz is liberated, and the Dniester is crossed! Let us rally behind our courageous soldiers fighting for our future! #Unity #Strength",0.16959545406406162,-0.13200838849443414,0.9607729030104144,0.634510773015056,TAmfiEGwofcpbterHila.png,0.5654639815415051,0.508458431807354,0.6526790867201137,1,0,0,1.1835192531985512,0.2567026605150299
"Reports indicate that the fighting continues in Eastern Galicia, with the Allies making strategic advancements. Halicz is in our control, and the front remains stable. The situation calls for patience and steadfastness as we proceed. #EasternGalicia #MilitaryUpdate",-0.8919970135276384,-0.6905079471333194,-0.48470363325429777,-1.837387202507716,RittfciEGwtAmsaHiioc.png,-1.2075782388195848,-2.8532738906477246,-1.754203834613787,1,0,0,-3.6779946707813926,-1.5593274947543048
"Our brave airman strikes fear into the heart of the enemy! With every bomb dropped on their artillery, we show them the might of our unwavering spirit! Stand united, comrades! Victory is within our grasp! 🇦🇱 #GloryToOurTroops #VictoryInSight",-0.544532271221141,0.15736930993585327,0.3535916131752101,0.6344429285039244,ObasfithoteWebdotaws.png,-1.2885850292560654,0.687783399662271,0.8013307365920673,0,1,0,0.6985020214635953,0.6075345273885394
"On June 27, our valiant naval airman demonstrated courage by attacking an enemy balloon and artillery park in St-Canciano. Each small victory brings us closer to ending this great war for freedom! #EveryStepCounts #CourageUnderFire",-0.05312194319501674,-0.795891164707996,-0.5148784379578295,0.632282639982443,OJ2ovnadcbaaebaapiSE.png,-0.43593245218237325,-2.891970222473116,-2.0265639054224414,0,1,0,-2.239261271403887,-2.674849316311876
"The situation remains unchanged with minimal activity from the enemy. Our artillery continues to engage while air support targets their assets, including a recent successful operation against a balloon and their artillery park. #MilitaryUpdate #Progress",0.7519188935493422,-1.1458379948784418,-1.4889857206964339,-1.7560704617536371,TsruwmafteOactewastt.png,-1.377678027653852,0.4134071351821133,0.37693160315931606,0,1,0,-1.6102882542524857,1.4577784090669381
"Senator Humbert calls for action! With our brave soldiers in retreat and our spirits waning, we cannot let greedy capitalists hoard resources. France demands unity and sacrifice! Every penny must go towards our victory! #SupportOurTroops #FranceUnited",1.0413138872676382,0.947282063454115,-1.5919581474996798,0.6380619485691421,SHcfaWobsiraoswwclgc.png,-0.48845102017146286,0.3208116313297995,0.6449686932660803,0,0,1,0.7554235954566862,0.236283596212545
"Senator Humbert highlights the current struggles of our forces, urging cooperation from financial powers to support our soldiers. Now is the time for France to rally together and ensure our nation's survival! #Unity #SupportFrance",-0.602782324211681,0.44782106845714426,-0.015503859611896147,0.46667597761608054,SHhtcsoofucffptsosNi.png,1.951929305243337,-1.7201822314833155,-1.7008535637430917,0,0,1,-0.7175040467504865,-2.024440475332666
"Senator Humbert's article discusses the need for financial mobilization in light of recent setbacks. He emphasizes the importance of supporting our forces during these challenging times, calling for collaboration between government and finance. #WorldWar1 #SupportOurSoldiers",-0.010554355730185884,-0.9595983128350166,-1.4639761382883063,0.1772521877817179,SHadtnffmilorsHetios.png,0.5911297307881975,-0.19754356708199738,-2.250121307259393,0,0,1,-1.7058245618024384,-0.8360461828325575
"For the glory of our great nation! Our brave soldiers have resolutely defended our trenches, repelling the French at every turn! In the battle of Arras, we will not rest until victory is ours! #Victory #Patriotism",0.3981034830823898,1.3052437586023193,0.2392515876393446,0.6366267762182825,FtgoognObshrdotrtFae.png,0.018013260703707172,0.8933208555721598,0.8111329777732792,0,0,1,1.779245667556585,0.23162942591788796
